,Review
1058,166
407,6262
817,115
537,26
758,684
1088,26
873,2
38,26
175,14
245,452
810,21
1087,51
943,2
784,14
1169,2
489,26
154,395
638,181
662,11
287,66
625,41
1113,358
685,2
853,526
569,2
1129,8
734,2650
792,32
17,172
127,8
322,25
255,21
924,67
1164,2
190,78
115,26
1158,2
869,885
606,1515
180,32
301,172
496,148
1007,14
1023,22
963,2
744,353
936,2
517,26
372,22
45,27
476,2
157,227
1034,27
171,78
16,158
511,74
48,252
191,353
546,6896
515,6751
958,1235
949,166
828,2
964,26
480,26
1115,27
283,1038
1013,32
797,2
920,2
225,8
26,66
282,62
1135,2
437,1066
1152,396
364,27
229,227
37,80
669,158
749,121
1165,17
374,11
469,353
882,78
1166,2
687,216
32,32
989,513
1026,204
194,8
1092,493
1100,2
932,179
503,219
915,84
1153,8
1167,1765
1074,1885
800,16
579,26
160,248
680,66
1117,22
162,2
821,3582
705,55
987,2
877,2
895,255
913,8147
1183,540
152,723
959,8
982,864
509,11
111,26
226,2
966,353
851,2
103,66
421,59
419,21
624,177
586,26
1048,776
919,44
672,2
119,11
53,66
151,2407
403,115
1173,26
207,32
1121,26
658,21
1083,8781
232,2
8,66
159,650
36,26
452,263
651,1855
253,526
303,26
896,255
1036,26
880,8
571,26
623,22
1000,115
1014,8
1004,8
262,2
610,21
297,166
414,198
150,358
945,62
472,85
952,1515
778,525
640,26
1174,88
1116,21
550,2
639,8
935,273
928,74
488,6652
819,404
710,26
1067,89
147,8
146,166
1119,10
962,1403
345,89
402,2023
931,2
954,8
1111,505
659,26
770,166
348,25
463,8
325,612
186,2
123,252
1091,2
608,2
143,2
751,734
1159,25
906,273
981,1862
197,477
609,540
883,8071
836,32
279,26
293,27
1075,2
400,3248
122,122
202,895
835,776
246,33
1184,2
384,8
854,87
219,5391
641,2
1,422
112,2
698,140
951,4
1065,2539
441,94
663,354
1160,1609
317,723
648,158
709,48
972,21
627,884
632,8
1156,40
1093,8826
795,8
645,26
1012,8
556,353
681,26
577,2
524,8
540,8
748,26
1096,21
484,27
95,227
1020,27
563,26
742,2
863,7988
891,32
1038,26
206,27
392,26
794,1065
870,562
397,403
766,2
1102,168
1028,26
642,8
612,181
960,8
725,32
683,2
98,47
804,8
406,2474
502,864
1071,8
1056,2
929,2
779,457
200,170
134,740
1051,8
40,1808
1017,2
230,5480
378,26
288,27
418,26
391,26
592,11
1086,57
647,2
520,236
64,1066
14,2
1064,8
492,2
379,2
187,181
763,8
216,8
791,2
1076,2
878,78
337,115
719,2
295,884
1016,113
455,2
815,99
269,16
995,8
201,16
161,2
729,236
401,8
702,27
565,103
1021,90
1025,78
1104,526
205,255
34,434
775,204
508,236
1168,2
91,798
897,26
564,864
776,78
241,26
13,26
315,757
600,7079
387,1137
166,345
840,26
20,2
646,26
831,374
562,26
1155,27
686,1390
957,177
189,27
975,8
699,302
510,32
1082,26
474,8
856,4
747,26
252,8
21,1792
459,256
276,287
955,573
385,2
805,1214
343,2
769,115
130,353
871,353
1123,21
87,26
330,464
466,66
121,26
1044,26
1095,21
1130,88
860,22
1126,8
