,Class
2374,negative
112,positive
3784,neutral
263,positive
1393,neutral
1702,neutral
1186,neutral
2236,positive
56,positive
1309,positive
695,neutral
1777,positive
1569,neutral
1623,neutral
1578,neutral
2842,neutral
2172,neutral
682,negative
4620,neutral
3049,neutral
2619,neutral
4600,negative
3543,negative
286,positive
3143,neutral
2297,positive
2457,neutral
3542,neutral
3319,neutral
3985,neutral
1912,neutral
736,negative
2499,neutral
336,positive
2267,positive
2634,neutral
4291,neutral
4269,negative
1071,neutral
2312,neutral
3560,neutral
2177,positive
3941,neutral
3910,neutral
3718,neutral
3194,neutral
498,positive
4213,negative
4806,neutral
3919,neutral
3844,neutral
4150,neutral
2881,neutral
2292,positive
4642,negative
2164,neutral
1839,neutral
1022,neutral
2168,neutral
4738,negative
3414,neutral
2111,neutral
1822,neutral
665,neutral
3725,neutral
2505,neutral
1017,neutral
4442,negative
2295,positive
1207,neutral
3588,neutral
2005,neutral
4665,negative
245,positive
1163,neutral
266,positive
2342,neutral
1114,positive
63,positive
2463,neutral
3967,neutral
2622,neutral
2855,positive
3022,neutral
2133,positive
3955,neutral
2422,neutral
1876,positive
2378,neutral
1237,neutral
103,positive
2510,neutral
3434,neutral
508,neutral
4161,negative
4781,negative
1505,neutral
865,neutral
4309,neutral
908,positive
4808,negative
3689,neutral
2726,neutral
835,positive
358,positive
138,positive
299,positive
1003,neutral
382,positive
941,positive
1732,positive
761,positive
1697,neutral
4513,positive
1919,positive
1892,neutral
1893,neutral
1807,neutral
1402,neutral
4361,neutral
4311,neutral
4251,neutral
3954,neutral
1512,positive
1188,neutral
2834,neutral
1849,positive
3670,neutral
3260,neutral
108,positive
3676,neutral
2194,positive
2533,negative
58,neutral
76,neutral
796,positive
368,positive
2778,neutral
785,positive
2908,neutral
4047,negative
1815,neutral
1962,positive
3352,neutral
1550,neutral
121,positive
4100,positive
4423,negative
3454,neutral
910,positive
124,positive
2483,neutral
1257,neutral
3264,neutral
3755,neutral
3877,neutral
1178,neutral
3290,neutral
4099,positive
442,positive
2586,neutral
2191,positive
925,positive
3912,neutral
2274,positive
1411,neutral
4176,neutral
1590,neutral
2024,neutral
1227,neutral
3425,neutral
3159,neutral
3112,neutral
324,positive
2922,neutral
1740,positive
1723,positive
3130,neutral
2879,neutral
1498,neutral
1502,positive
1006,neutral
4286,negative
3286,neutral
3785,neutral
1467,neutral
1225,neutral
2154,neutral
1800,negative
1216,neutral
3968,neutral
3318,neutral
420,neutral
3245,neutral
6,positive
932,positive
439,neutral
1313,neutral
678,negative
3575,neutral
2290,positive
4055,negative
4610,negative
4459,positive
2395,neutral
2610,neutral
4723,negative
2865,neutral
4116,neutral
2934,positive
2600,neutral
194,positive
1474,neutral
2220,positive
1211,neutral
2319,neutral
2566,neutral
3303,neutral
3237,neutral
3375,neutral
1675,neutral
1130,positive
1461,neutral
276,positive
2471,neutral
2215,neutral
2182,positive
1302,positive
3861,neutral
222,positive
4543,negative
4553,negative
573,neutral
1236,neutral
3362,neutral
4281,neutral
1334,neutral
2749,neutral
418,neutral
1832,positive
1104,neutral
257,positive
295,neutral
2245,positive
386,positive
2932,positive
2121,positive
2883,neutral
4204,negative
1961,neutral
1670,positive
4485,neutral
1563,neutral
4790,negative
2018,positive
712,negative
2233,neutral
2405,neutral
3907,neutral
4539,neutral
1289,positive
449,neutral
3915,neutral
2459,neutral
958,positive
4757,negative
654,positive
3647,neutral
2653,neutral
2238,neutral
2607,neutral
1867,positive
411,neutral
4324,neutral
3817,neutral
2988,neutral
4181,neutral
3508,neutral
2685,neutral
3809,neutral
3387,neutral
430,neutral
4436,negative
1366,positive
3724,neutral
2706,neutral
1176,neutral
3163,neutral
1476,neutral
2991,neutral
4242,neutral
102,positive
2223,neutral
1808,neutral
1263,neutral
3084,neutral
2977,neutral
3169,neutral
2905,neutral
2605,positive
3131,neutral
3010,neutral
2819,neutral
1643,neutral
4370,neutral
1957,neutral
1580,neutral
4287,neutral
4446,negative
1356,neutral
4240,neutral
1909,neutral
2124,neutral
2318,positive
396,neutral
3282,neutral
1064,neutral
2244,neutral
2942,neutral
818,positive
2101,positive
1552,neutral
2960,neutral
816,positive
1572,neutral
2813,neutral
4157,negative
381,positive
3620,neutral
2927,neutral
3323,neutral
3752,neutral
2592,neutral
2217,positive
864,positive
3426,neutral
3138,neutral
554,positive
1159,neutral
1213,neutral
1835,positive
2144,positive
48,positive
2251,neutral
2029,positive
652,positive
4440,negative
748,positive
1455,neutral
4052,neutral
3268,neutral
2552,neutral
866,neutral
752,positive
1644,neutral
92,positive
3642,neutral
4686,negative
2313,positive
4127,neutral
1490,neutral
2748,neutral
3939,neutral
729,positive
2583,neutral
2915,neutral
2794,neutral
1745,positive
4475,neutral
4788,negative
3311,neutral
1110,neutral
3168,neutral
4336,neutral
3988,positive
346,positive
1185,positive
3796,neutral
1515,neutral
4529,negative
578,neutral
75,neutral
1429,neutral
3406,neutral
4295,neutral
4383,negative
4799,negative
4043,negative
178,positive
2751,neutral
4331,neutral
2398,neutral
4087,neutral
2413,neutral
3686,neutral
604,positive
2042,neutral
25,positive
658,positive
3148,negative
2077,neutral
173,positive
1611,neutral
437,neutral
331,positive
2940,neutral
1454,positive
342,positive
4243,neutral
3539,neutral
1088,neutral
479,neutral
727,positive
4671,negative
976,positive
1831,neutral
2823,neutral
1468,neutral
1224,neutral
3750,positive
4685,negative
1299,neutral
2835,neutral
4461,positive
660,positive
3760,neutral
2276,positive
3984,neutral
2822,neutral
3624,neutral
2083,positive
2895,neutral
267,positive
2569,neutral
4451,negative
2197,positive
3411,neutral
3456,neutral
3527,neutral
3488,neutral
1278,neutral
4500,positive
4599,neutral
1621,neutral
1894,positive
3599,neutral
3717,negative
2858,neutral
2689,neutral
67,neutral
3166,neutral
1992,positive
221,neutral
4075,negative
2817,neutral
3589,neutral
4017,negative
1226,neutral
1937,negative
88,positive
2531,neutral
4261,neutral
4722,negative
319,neutral
3610,neutral
2609,neutral
2462,positive
1966,neutral
4418,negative
4322,neutral
4140,neutral
3399,neutral
1143,neutral
397,neutral
3568,neutral
4058,negative
2758,neutral
4396,negative
3441,neutral
1398,neutral
1659,neutral
3499,neutral
1096,neutral
3826,neutral
1741,positive
1350,neutral
2465,neutral
979,positive
283,positive
1736,positive
1298,neutral
4015,negative
898,positive
3789,neutral
3892,neutral
82,neutral
2339,neutral
3541,neutral
613,positive
3580,neutral
2174,positive
3666,neutral
423,negative
4208,negative
1904,neutral
4401,negative
3663,positive
1869,neutral
1565,neutral
4623,negative
4612,neutral
3626,neutral
839,positive
500,negative
611,positive
141,positive
549,positive
557,positive
887,positive
1377,neutral
1626,neutral
3503,neutral
2809,negative
218,positive
2880,neutral
2022,positive
1760,neutral
1138,neutral
209,positive
3013,neutral
2420,negative
1787,positive
3926,neutral
2439,neutral
550,positive
1424,neutral
2939,neutral
2836,neutral
3413,neutral
948,positive
1652,neutral
2798,neutral
3902,neutral
532,neutral
4376,negative
3080,neutral
1829,neutral
3128,neutral
4283,negative
3665,positive
3001,neutral
1602,positive
3295,neutral
639,positive
4687,negative
1782,positive
967,positive
0,neutral
2492,neutral
3947,neutral
4756,negative
3334,neutral
4335,neutral
2226,neutral
4200,negative
247,positive
2367,neutral
4764,negative
1089,neutral
2522,neutral
3776,neutral
3901,neutral
4112,neutral
288,positive
930,positive
2379,neutral
2857,neutral
2929,neutral
4160,neutral
2907,neutral
2388,neutral
272,positive
4836,negative
4235,neutral
3337,neutral
278,positive
952,positive
3198,neutral
2252,positive
3123,neutral
2015,positive
3248,neutral
3654,neutral
2451,neutral
4522,positive
1698,positive
4568,positive
2803,positive
2384,neutral
3860,neutral
4248,negative
155,positive
4319,negative
985,positive
3106,neutral
3652,neutral
2114,neutral
4633,negative
981,positive
2372,positive
1751,positive
4051,negative
3535,neutral
2311,neutral
4692,negative
942,positive
2792,neutral
3346,neutral
1400,neutral
2970,neutral
1595,neutral
210,neutral
3641,neutral
1457,neutral
1509,neutral
1395,neutral
264,positive
3511,neutral
1499,neutral
700,negative
2301,positive
644,positive
4789,negative
1405,neutral
2585,neutral
929,positive
4828,negative
4561,negative
195,positive
2661,neutral
3494,neutral
2559,neutral
1860,positive
1818,neutral
4718,negative
246,positive
3405,neutral
1758,positive
4717,negative
2669,neutral
923,positive
2229,neutral
268,positive
669,negative
2668,neutral
1910,neutral
2830,neutral
1152,neutral
4672,negative
3277,neutral
4113,neutral
3671,neutral
3802,neutral
2827,neutral
1915,positive
612,positive
2288,positive
3349,neutral
1898,neutral
1649,neutral
2333,neutral
258,positive
847,positive
4122,negative
1233,neutral
1127,positive
1967,neutral
558,positive
3698,neutral
484,positive
1320,neutral
4714,negative
7,positive
3317,negative
3523,neutral
1450,neutral
3771,neutral
1814,neutral
773,positive
1011,neutral
2789,neutral
2329,neutral
1991,negative
3986,neutral
1783,positive
446,positive
880,positive
781,positive
1749,positive
4733,negative
883,positive
2258,positive
1091,neutral
2788,neutral
531,neutral
4187,negative
3193,neutral
3886,neutral
1727,positive
610,positive
570,neutral
3741,neutral
4081,positive
343,positive
2897,neutral
2978,neutral
434,neutral
1903,neutral
4345,neutral
2268,positive
2069,positive
1537,neutral
4477,neutral
2366,neutral
1517,neutral
965,positive
4271,negative
528,positive
176,positive
4715,negative
4768,negative
4167,neutral
572,neutral
2399,neutral
3328,neutral
2962,neutral
3047,neutral
2721,neutral
4009,neutral
2620,neutral
383,positive
852,positive
1880,neutral
370,positive
4190,negative
4192,negative
1105,positive
3934,neutral
3738,neutral
1336,neutral
4457,positive
3199,neutral
4486,positive
4702,negative
1171,positive
2464,neutral
2561,neutral
1422,neutral
2225,positive
2518,neutral
1464,neutral
874,positive
2208,neutral
4209,negative
1251,neutral
2232,positive
840,positive
2990,neutral
581,positive
204,positive
1641,neutral
2014,neutral
905,positive
631,positive
3916,neutral
1974,neutral
162,positive
3011,neutral
2718,neutral
4395,negative
617,positive
3856,neutral
1431,neutral
547,positive
3165,neutral
4409,negative
4096,positive
2269,positive
2893,neutral
2851,neutral
3853,neutral
1861,neutral
640,positive
4091,positive
637,neutral
3336,neutral
4303,negative
2096,neutral
4349,neutral
4791,negative
3484,neutral
2697,neutral
921,positive
546,positive
3894,neutral
3971,neutral
2028,neutral
1885,neutral
1642,neutral
3329,neutral
4664,negative
2097,neutral
4225,neutral
3380,neutral
4359,neutral
4814,negative
836,positive
601,positive
2184,positive
3660,neutral
2361,neutral
4177,negative
1582,neutral
4137,neutral
4194,neutral
2591,neutral
1070,positive
1775,positive
4663,negative
1283,neutral
2894,neutral
4611,neutral
1836,neutral
3977,neutral
1019,neutral
4447,negative
1326,neutral
475,neutral
3270,neutral
1651,neutral
3788,neutral
4155,neutral
2480,neutral
2357,positive
4753,negative
1373,neutral
739,positive
3832,neutral
2321,positive
867,positive
1140,positive
997,positive
1337,neutral
541,positive
1099,neutral
1132,neutral
3852,neutral
2581,neutral
3778,neutral
59,neutral
3386,neutral
1938,negative
3107,neutral
4784,negative
1078,positive
3480,neutral
2966,neutral
940,positive
1080,neutral
187,positive
4053,negative
2085,positive
2249,neutral
4742,negative
2023,positive
3795,neutral
3837,neutral
4526,neutral
226,positive
4277,neutral
1929,neutral
2899,neutral
4354,negative
1404,neutral
2179,positive
697,negative
1124,neutral
2656,neutral
2770,neutral
1778,positive
4023,neutral
1037,positive
4018,neutral
2256,positive
313,positive
2281,neutral
1416,neutral
1036,neutral
2159,neutral
3997,negative
1754,neutral
2952,neutral
2650,neutral
3990,negative
3176,neutral
3254,neutral
1506,neutral
1923,neutral
448,neutral
2414,neutral
2404,neutral
4816,negative
2437,neutral
361,positive
2183,neutral
1134,neutral
3674,neutral
2155,neutral
1830,neutral
1053,neutral
22,positive
2066,neutral
1653,neutral
2458,neutral
3046,positive
2658,neutral
3825,neutral
2325,neutral
460,neutral
1067,positive
87,positive
3898,neutral
2525,neutral
282,positive
462,positive
212,positive
2377,negative
1368,neutral
234,positive
2633,neutral
597,positive
4332,neutral
2250,positive
3820,neutral
2283,positive
662,positive
4810,negative
2285,positive
4576,neutral
3032,neutral
3263,neutral
4680,negative
779,positive
4813,negative
3249,neutral
3119,neutral
3035,neutral
4689,negative
685,neutral
3008,neutral
4787,positive
2171,neutral
2534,positive
1850,neutral
487,positive
1688,neutral
2230,neutral
3097,neutral
2320,positive
782,positive
521,neutral
522,neutral
2694,neutral
4105,neutral
2207,neutral
3298,neutral
3370,neutral
2680,neutral
1511,neutral
1882,positive
651,positive
2647,neutral
3197,neutral
369,positive
4711,negative
118,positive
3151,neutral
4203,neutral
2216,neutral
3360,neutral
1613,neutral
2765,neutral
962,positive
3365,neutral
3625,positive
4841,negative
2876,neutral
4761,negative
4109,neutral
2185,positive
3685,neutral
2037,neutral
4408,negative
772,positive
1284,neutral
4595,negative
1414,neutral
1234,positive
4580,negative
435,positive
1674,neutral
365,positive
4527,neutral
231,positive
4217,neutral
3830,neutral
4264,neutral
407,neutral
2090,neutral
86,positive
844,positive
1031,neutral
2498,neutral
3927,neutral
3065,neutral
855,neutral
78,neutral
2247,positive
4618,neutral
3467,neutral
2764,neutral
3931,neutral
2279,positive
2468,neutral
3992,negative
3664,neutral
4467,positive
2176,positive
424,neutral
392,neutral
4586,negative
3307,neutral
104,positive
4567,negative
1948,positive
1459,neutral
3803,neutral
2663,neutral
2572,neutral
4645,negative
1587,neutral
3470,neutral
1731,positive
3518,neutral
4707,negative
1791,positive
2355,neutral
1940,positive
702,positive
2442,neutral
2673,neutral
496,neutral
464,neutral
2554,neutral
4202,neutral
172,positive
2917,neutral
4651,negative
3095,neutral
4172,neutral
2260,positive
2112,neutral
900,positive
1446,neutral
4064,negative
741,positive
2293,positive
2452,neutral
4511,neutral
3865,neutral
1206,neutral
509,neutral
2487,neutral
2662,neutral
1549,neutral
3904,neutral
2202,positive
2044,neutral
767,positive
4724,negative
3540,neutral
421,negative
123,positive
3996,negative
2495,neutral
819,positive
1403,neutral
1382,neutral
2148,neutral
1575,neutral
1638,positive
1795,neutral
4670,negative
399,neutral
2310,positive
882,positive
4820,neutral
2750,neutral
1352,neutral
2805,neutral
4708,negative
2130,positive
982,positive
456,neutral
3350,neutral
1079,neutral
1950,positive
4184,neutral
689,positive
2429,neutral
641,positive
2392,neutral
1953,positive
2614,neutral
2629,neutral
3258,neutral
3167,neutral
4624,negative
3734,neutral
1884,neutral
389,positive
2494,positive
2957,neutral
4482,neutral
845,positive
542,negative
91,positive
3683,neutral
1979,neutral
2671,neutral
3868,neutral
2754,neutral
2529,neutral
1676,neutral
1048,neutral
1960,positive
2530,neutral
2643,neutral
237,positive
2812,negative
3308,neutral
1133,neutral
1805,neutral
3956,neutral
163,positive
3312,neutral
4569,positive
3174,neutral
3275,neutral
3038,neutral
3447,neutral
3731,neutral
1811,positive
4540,neutral
1428,neutral
3427,neutral
2659,neutral
3221,neutral
4325,neutral
4509,positive
2678,neutral
1452,neutral
593,neutral
41,positive
560,positive
4414,negative
3659,negative
243,positive
1339,neutral
4682,negative
2807,neutral
4033,negative
1442,positive
261,positive
2627,neutral
1689,neutral
1725,positive
3849,neutral
834,positive
1866,neutral
2496,neutral
2010,positive
340,positive
2833,neutral
1601,neutral
4032,negative
4554,negative
480,neutral
2683,neutral
3693,neutral
3591,neutral
4498,positive
2890,neutral
3781,neutral
1766,positive
4338,neutral
2453,neutral
4625,neutral
3613,neutral
3806,neutral
4537,neutral
3487,neutral
1271,neutral
2921,neutral
4366,neutral
3105,neutral
347,positive
3751,neutral
4484,neutral
2562,neutral
4453,negative
1423,neutral
656,positive
2102,neutral
632,positive
2493,neutral
3921,neutral
3473,neutral
3139,neutral
2937,neutral
3410,neutral
2500,neutral
1465,positive
2741,neutral
115,positive
1821,neutral
1494,neutral
2401,neutral
1232,neutral
2725,neutral
1153,neutral
4347,neutral
57,positive
3220,neutral
4274,neutral
4792,negative
1735,positive
2196,positive
3371,neutral
2475,neutral
2564,neutral
2997,positive
4216,negative
3466,neutral
707,neutral
4151,negative
1093,neutral
3379,neutral
1376,neutral
72,neutral
1922,neutral
3012,neutral
1764,neutral
743,neutral
4750,negative
1005,neutral
1190,neutral
3483,neutral
4152,negative
1125,neutral
1241,neutral
2704,neutral
3936,neutral
3265,neutral
998,neutral
3423,neutral
1577,neutral
4646,negative
1826,positive
4518,neutral
4835,negative
3355,neutral
440,neutral
4798,negative
1100,neutral
3800,neutral
2902,neutral
649,positive
1546,positive
3357,neutral
3378,neutral
3768,neutral
630,positive
672,negative
1249,neutral
482,neutral
1584,neutral
4741,negative
2882,neutral
1462,neutral
3722,neutral
3435,neutral
2578,neutral
49,positive
4159,neutral
2900,neutral
858,positive
1072,neutral
719,positive
4581,negative
2631,neutral
1660,neutral
1656,neutral
2425,neutral
4491,neutral
4102,positive
4821,negative
4352,neutral
4546,neutral
4609,negative
3932,neutral
2606,neutral
1385,neutral
3631,neutral
1399,neutral
1195,neutral
1408,neutral
4086,positive
1798,positive
1475,neutral
3052,neutral
35,positive
3529,neutral
2345,neutral
3879,neutral
2359,neutral
2206,neutral
3566,neutral
1286,neutral
349,positive
2137,positive
2691,neutral
2825,neutral
2964,neutral
1681,neutral
3811,neutral
1443,neutral
3078,neutral
1671,neutral
4564,negative
1179,negative
4002,negative
3668,neutral
372,positive
3424,neutral
1916,positive
1357,neutral
1825,positive
786,positive
469,neutral
140,positive
788,positive
323,positive
3905,neutral
714,positive
4353,neutral
2446,neutral
4668,negative
4284,negative
4458,positive
2859,neutral
2666,neutral
406,neutral
3187,neutral
1004,neutral
4468,positive
890,positive
2411,neutral
2545,neutral
3259,neutral
2390,neutral
3732,neutral
42,positive
3142,neutral
303,positive
4378,negative
3548,neutral
664,positive
1177,neutral
2676,neutral
1947,positive
2501,neutral
1473,neutral
3339,neutral
2132,positive
1026,neutral
961,positive
2009,neutral
2149,positive
3154,neutral
2338,neutral
3682,neutral
304,positive
1440,neutral
1496,positive
2652,neutral
916,positive
4025,negative
3526,neutral
2772,neutral
1624,neutral
3633,negative
821,positive
3132,positive
1354,neutral
4362,neutral
850,positive
1000,neutral
3203,neutral
18,positive
1637,neutral
1667,neutral
493,neutral
3918,negative
3532,neutral
3651,neutral
3428,neutral
687,positive
3534,negative
1608,positive
3909,neutral
3227,neutral
1009,neutral
2408,neutral
1092,neutral
1327,neutral
1677,neutral
1999,positive
1310,neutral
1987,neutral
3460,neutral
344,positive
3914,positive
986,positive
3646,neutral
3605,neutral
4182,neutral
3792,neutral
4320,negative
2874,neutral
1142,neutral
2358,neutral
1198,neutral
85,neutral
1518,neutral
4237,neutral
1381,neutral
2716,neutral
3214,neutral
1014,neutral
128,positive
1364,neutral
3437,neutral
3745,neutral
891,positive
2793,neutral
4076,negative
1359,neutral
307,positive
1661,neutral
2431,neutral
3727,neutral
1317,neutral
4173,negative
2474,neutral
2542,neutral
1246,neutral
1208,neutral
216,positive
4162,negative
2906,neutral
1239,neutral
2289,positive
2740,neutral
275,positive
489,positive
1035,neutral
1229,neutral
4448,negative
1008,neutral
3845,neutral
3026,neutral
3021,neutral
2532,neutral
4012,negative
1058,neutral
2166,neutral
3200,neutral
281,positive
3595,neutral
1316,positive
4825,negative
968,positive
4063,negative
4688,negative
3586,neutral
3338,neutral
619,neutral
4431,negative
1742,positive
1390,neutral
3838,neutral
1847,positive
1579,neutral
1655,neutral
2352,neutral
2212,positive
2020,positive
4819,neutral
1956,neutral
1307,positive
2003,positive
575,positive
3874,neutral
4068,negative
1706,negative
3544,neutral
3291,neutral
1280,neutral
861,positive
3960,neutral
1801,neutral
1628,positive
1993,positive
2639,neutral
269,positive
629,neutral
2334,neutral
300,positive
459,neutral
1447,positive
1472,neutral
2046,neutral
4101,positive
3564,neutral
2113,positive
27,positive
3635,neutral
4387,negative
837,positive
3623,neutral
2008,positive
4758,negative
503,neutral
3043,neutral
4003,negative
380,positive
4054,negative
1525,negative
4412,neutral
3064,neutral
2884,positive
2340,neutral
374,positive
3192,neutral
2381,neutral
4179,negative
939,positive
4752,negative
3999,negative
2799,neutral
2147,positive
3615,neutral
4403,negative
4088,positive
2068,positive
529,neutral
3903,neutral
636,positive
1269,neutral
185,positive
3616,neutral
3018,neutral
3276,neutral
1797,positive
2979,neutral
1441,neutral
3250,neutral
4726,negative
1535,neutral
4205,negative
1273,neutral
3891,neutral
607,positive
4417,negative
1712,positive
2199,positive
955,positive
2579,neutral
3690,neutral
4290,negative
3206,neutral
3493,neutral
403,neutral
2071,positive
4613,negative
1977,negative
158,positive
1748,positive
2909,neutral
3353,neutral
902,positive
352,positive
1230,neutral
4530,negative
2140,positive
444,neutral
4795,negative
754,positive
1737,positive
2971,neutral
4826,neutral
2920,positive
311,positive
548,positive
4746,negative
4619,negative
1989,negative
306,positive
2335,neutral
694,neutral
2356,neutral
1927,neutral
684,negative
749,positive
3081,neutral
1266,neutral
4492,positive
4420,negative
4288,neutral
4292,neutral
3025,neutral
970,positive
13,positive
873,positive
808,positive
514,neutral
4337,neutral
409,positive
3479,neutral
4211,neutral
207,positive
4476,neutral
458,positive
3292,neutral
2430,neutral
4480,neutral
110,neutral
4323,neutral
3833,neutral
1883,positive
1713,negative
3749,neutral
3408,neutral
552,positive
1439,neutral
2270,positive
2821,neutral
4637,negative
1925,neutral
634,positive
4660,negative
316,positive
4089,positive
4559,negative
1328,neutral
427,neutral
3201,neutral
105,positive
3041,neutral
142,positive
2169,neutral
3366,neutral
89,positive
2918,neutral
2241,positive
4050,negative
2163,neutral
2636,neutral
1949,positive
1768,positive
3554,neutral
2272,positive
1,neutral
3114,neutral
4804,neutral
1951,positive
3883,neutral
4166,neutral
2720,neutral
3669,neutral
1109,positive
3403,neutral
591,positive
1695,neutral
2936,neutral
4069,negative
3235,neutral
1576,neutral
4470,positive
213,positive
778,positive
1415,neutral
3559,neutral
2043,neutral
2848,neutral
4400,negative
3945,neutral
3611,neutral
1567,positive
165,positive
4574,negative
3400,neutral
4775,positive
1343,neutral
2013,positive
273,positive
71,neutral
3681,neutral
1087,neutral
394,neutral
583,positive
1367,neutral
4833,negative
3873,neutral
2548,neutral
3906,negative
4749,negative
3003,neutral
4644,negative
3790,negative
3351,neutral
1763,positive
1875,positive
1259,neutral
4394,negative
2253,neutral
2781,neutral
526,positive
3244,neutral
2946,neutral
377,positive
1559,neutral
3618,neutral
1963,neutral
4591,negative
348,positive
2434,neutral
