,News
138,118
299,14
1003,64
382,104
941,74
1732,1667
761,4929
1697,17
4513,3700
1919,3874
1892,1565
1893,43
1807,262
1402,124
4361,4372
4311,234
4251,2958
3954,429
1512,3696
1188,144
2834,7359
1849,1271
3670,4102
3260,7788
108,284
3676,479
2194,555
2533,14
58,2386
76,303
796,1032
368,7
2778,150
785,3
2908,159
4047,497
1815,6273
1962,915
3352,2986
1550,517
121,568
4100,968
4423,177
3454,4242
910,1597
124,178
2483,194
1257,257
3264,12
3755,530
3877,61
1178,74
3290,114
4099,637
442,568
2586,402
2191,1439
925,16
3912,530
2274,6
1411,237
4176,302
1590,5969
2024,163
1227,1005
3425,1915
3159,805
3112,329
324,468
2922,7456
1740,129
1723,27
3130,7696
2879,425
1498,1911
1502,273
1006,296
4286,4325
3286,204
3785,1103
1467,5794
1225,232
2154,9
1800,6
1216,1979
3968,8402
3318,210
420,215
3245,550
6,21
932,1767
439,4647
1313,5602
678,880
3575,1907
2290,9
4055,6
4610,464
4459,648
2395,385
2610,3
4723,7
2865,7403
4116,457
2934,27
2600,3
194,6
1474,401
2220,1147
1211,891
2319,3583
2566,1260
3303,357
3237,765
3375,530
1675,12
1130,458
1461,2253
276,633
2471,1203
2215,3
2182,6753
1302,692
3861,669
222,24
4543,4365
4553,42
573,53
1236,5482
3362,25
4281,1235
1334,25
2749,6
418,73
1832,1347
1104,2651
257,14
295,288
2245,5
386,60
2932,27
2121,84
2883,338
4204,168
1961,296
1670,154
4485,2583
1563,2799
4790,68
2018,194
712,158
2233,257
2405,1871
3907,340
4539,187
1289,5577
449,43
3915,34
2459,6
958,164
4757,14
654,3275
3647,245
2653,516
2238,1238
2607,3
1867,6350
411,61
4324,2
3817,222
2988,24
4181,444
3508,106
2685,66
3809,1920
3387,7900
430,1134
4436,1061
1366,3
3724,239
2706,313
1176,2686
3163,99
1476,719
2991,7524
4242,3860
102,631
2223,6
1808,702
1263,525
3084,485
2977,209
3169,777
2905,6
2605,3
3131,728
3010,540
2819,373
1643,61
4370,154
1957,17
1580,863
4287,3725
4446,509
1356,18
4240,8661
1909,6445
2124,2321
2318,755
396,765
3282,447
1064,33
2244,3994
2942,7478
818,42
2101,6
1552,449
2960,7500
816,42
1572,1421
2813,268
4157,6
381,104
3620,335
2927,97
3323,3002
3752,629
2592,52
2217,3
864,33
3426,17
3138,555
554,472
1159,42
1213,425
1835,2736
2144,316
48,3
2251,53
2029,9
652,118
4440,2211
748,2107
1455,3664
4052,732
3268,1915
2552,568
866,9
752,42
1644,61
92,166
3642,21
4686,343
2313,2684
4127,2161
1490,5833
2748,6
3939,60
729,1270
2583,106
2915,487
2794,6
1745,2178
4475,1359
4788,42
3311,1696
1110,170
3168,738
4336,2321
3988,2863
346,480
1185,444
3796,3
1515,315
4529,825
578,27
75,854
1429,137
3406,297
4295,738
4383,8853
4799,166
4043,189
178,796
2751,6
4331,8775
2398,611
4087,166
2413,1182
3686,262
604,445
2042,3
25,9
658,3277
3148,539
2077,42
173,14
1611,565
437,3159
331,6
2940,7477
1454,2253
342,593
4243,18
3539,373
1088,664
479,173
727,107
4671,146
976,3
1831,6
2823,1576
1468,5798
1224,6
3750,3436
4685,343
1299,421
2835,7362
4461,698
660,66
3760,221
2276,6
3984,17
2822,88
3624,194
2083,347
2895,6
267,189
2569,1379
4451,992
2197,346
3411,726
3456,7
3527,8039
3488,12
1278,5550
4500,8992
4599,2774
1621,3
1894,3855
3599,9
3717,75
2858,768
2689,1199
67,63
3166,41
1992,93
221,395
4075,8457
2817,298
3589,6
4017,6
1226,487
1937,25
88,709
2531,710
4261,2962
4722,9
319,6
3610,230
2609,3
2462,288
1966,304
4418,14
4322,701
4140,292
3399,60
1143,42
397,6
3568,57
4058,6
2758,6
4396,8869
3441,584
1398,17
1659,34
3499,34
1096,2660
3826,1226
1741,797
1350,2233
2465,1005
979,167
283,3093
1736,303
1298,421
4015,146
898,3
3789,3
3892,1115
82,755
2339,42
3541,113
613,58
3580,457
2174,189
3666,8137
423,29
4208,8612
1904,3867
4401,403
3663,8132
1869,672
1565,17
4623,464
4612,197
3626,194
839,6
500,2060
611,194
141,6
549,3213
557,3
887,2592
1377,1817
1626,6026
3503,42
2809,74
218,77
2880,7418
2022,493
1760,3786
1138,2186
209,3093
3013,343
2420,767
1787,287
3926,34
2439,146
550,3213
1424,25
2939,1097
2836,3996
3413,841
948,1174
1652,1470
2798,1853
3902,1054
532,387
4376,8841
3080,412
1829,6
3128,675
4283,489
3665,2490
3001,445
1602,530
3295,17
639,1794
4687,343
1782,919
967,7
0,42
2492,7026
3947,17
4756,14
3334,119
4335,539
2226,1134
4200,194
247,14
2367,1222
4764,3
1089,366
2522,35
3776,18
3901,77
4112,8484
288,3
930,782
2379,136
2857,768
2929,1714
4160,6
2907,934
2388,42
272,10
4836,14
4235,1631
3337,1115
278,7
952,6
3198,3
2252,32
3123,915
2015,1042
3248,35
3654,866
2451,4042
4522,1319
1698,836
4568,515
2803,73
2384,42
3860,852
4248,3
155,259
4319,4368
985,388
3106,1960
3652,642
2114,41
4633,9154
981,1413
2372,6
1751,27
4051,550
3535,2644
2311,732
4692,9
942,347
2792,259
3346,109
1400,143
2970,3109
1595,5977
210,4523
3641,721
1457,195
1509,5863
1395,1851
264,273
3511,385
1499,2750
700,197
2301,201
644,6
4789,597
1405,61
2585,4074
929,32
4828,9233
4561,3581
195,6
2661,61
3494,2248
2559,7078
1860,350
1818,3594
4718,670
246,14
3405,4232
1758,623
4717,3
2669,1115
923,438
2229,12
268,189
669,166
2668,90
1910,2
2830,172
1152,42
4672,146
3277,248
4113,4265
3671,2985
3802,3
2827,172
1915,1008
612,422
2288,3450
3349,155
1898,176
1649,775
2333,98
258,14
847,27
4122,33
1233,1881
1127,13
1967,92
558,1775
3698,164
484,29
1320,5615
4714,177
7,21
3317,210
3523,4169
1450,692
3771,777
1814,629
773,646
1011,541
2789,611
2329,643
1991,2830
3986,8419
1783,6211
446,53
880,5046
781,555
1749,877
4733,24
883,5050
2258,106
1091,969
2788,611
531,968
4187,891
3193,3
3886,4215
1727,2408
610,563
570,232
3741,2
4081,278
343,16
2897,6
2978,183
434,55
1903,445
4345,1590
2268,166
2069,6
1537,11
4477,312
2366,34
1517,202
965,3402
4271,4335
528,34
176,523
4715,491
4768,14
4167,4337
572,3
2399,142
3328,175
2962,579
3047,7624
2721,1192
4009,1125
2620,57
383,189
852,194
1880,2187
370,3119
4190,6
4192,6
1105,109
3934,60
3738,4056
1336,5638
4457,42
3199,3
4486,2693
4702,14
1171,3519
2464,3383
2561,7080
1422,22
2225,284
2518,9
1464,3669
874,2584
2208,3
4209,3287
1251,2209
2232,12
840,243
2990,7521
581,32
204,111
1641,94
2014,395
905,426
631,1068
3916,34
1974,3665
162,14
3011,7562
2718,150
4395,146
617,4815
3856,452
1431,34
547,11
3165,41
4409,9
4096,6
2269,53
2893,11
2851,3696
3853,1100
1861,205
640,77
4091,150
637,4839
3336,529
4303,8739
2096,682
4349,6
4791,68
3484,7990
2697,964
921,247
546,853
3894,674
3971,787
2028,9
1885,72
1642,61
3329,2990
4664,796
2097,6
4225,33
3380,34
4359,292
4814,1773
836,6
601,125
2184,7
3660,1108
2361,17
4177,74
1582,863
4137,296
4194,2164
2591,1085
1070,1356
1775,6
4663,2898
1283,5561
2894,682
4611,29
1836,2124
3977,973
1019,2165
4447,568
1326,3455
475,611
3270,1951
1651,693
3788,3
4155,6
2480,194
2357,2925
4753,14
1373,280
739,222
3832,2366
2321,1128
867,3363
1140,197
997,692
1337,3606
541,14
1099,3476
1132,1405
3852,2248
2581,334
3778,217
59,168
3386,150
1938,417
3107,7673
4784,184
1078,314
3480,480
2966,395
940,42
1080,1245
187,167
4053,63
2085,6680
2249,53
4742,173
2023,2772
3795,3
3837,724
4526,13
226,509
4277,22
1929,116
2899,6
4354,94
1404,1863
2179,38
697,6
1124,5372
2656,17
2770,802
1778,1794
4023,5
1037,243
4018,6
2256,3
313,1218
2281,435
1416,109
1036,6
2159,9
3997,155
1754,262
2952,194
2650,303
3990,479
3176,597
3254,288
1506,2056
1923,1254
448,43
2414,6958
2404,67
4816,6
2437,22
361,10
2183,72
1134,1629
3674,322
2155,9
1830,6
1053,673
22,1971
2066,1767
1653,1668
2458,6
3046,17
2658,17
3825,1226
2325,3
460,94
1067,1620
87,106
3898,267
2525,90
282,1038
462,605
212,281
2377,11
1368,3
234,355
2633,1874
597,3249
4332,8778
2250,53
3820,458
2283,77
662,4843
4810,6
2285,1399
4576,7
3032,287
3263,12
4680,6
779,578
4813,52
3249,35
3119,7687
3035,376
4689,880
685,494
3008,1508
4787,2613
2171,14
2534,1286
1850,1353
487,338
1688,520
2230,12
3097,1693
2320,53
782,4947
521,61
522,61
2694,851
4105,3
2207,3
3298,1225
3370,170
2680,825
1511,1498
1882,33
651,17
2647,1355
3197,3
369,177
4711,10
118,14
3151,292
4203,8607
2216,3
3360,22
1613,3
2765,42
962,14
3365,1062
3625,194
4841,540
2876,197
4761,7
4109,17
2185,1037
3685,262
2037,64
4408,9
772,90
1284,1865
4595,189
1414,109
1234,3518
4580,14
435,488
1674,12
365,178
4527,2428
231,343
4217,880
3830,2366
4264,2
407,17
2090,6682
86,3
844,97
1031,215
2498,304
3927,34
3065,421
855,775
78,3072
2247,736
4618,9140
3467,158
2764,42
3931,60
2279,6
2468,2313
3992,9
3664,8134
4467,360
2176,189
424,455
392,6
4586,121
3307,61
104,6
4567,615
1948,162
1459,172
3803,3
2663,737
2572,177
4645,329
1587,2246
3470,12
1731,666
3518,611
4707,189
1791,16
2355,2753
1940,774
702,212
2442,197
2673,109
496,4699
464,277
2554,1302
4202,176
172,14
2917,18
4651,6
3095,2857
4172,8572
2260,1490
2112,6704
900,3
1446,5763
4064,14
741,2538
2293,61
2452,35
4511,4268
3865,204
1206,3530
509,3
2487,395
2662,1056
1549,1265
3904,127
2202,92
2044,138
767,194
4724,6
3540,113
421,29
123,178
3996,1260
2495,3414
819,42
1403,492
1382,78
2148,287
1575,1454
1638,2267
1795,2193
4670,1
399,673
2310,486
882,3367
4820,9223
2750,6
1352,2717
2805,1840
4708,228
2130,395
982,35
456,1233
3350,7
1079,3466
1950,593
4184,8585
689,6
2429,51
641,125
2392,43
1953,6
2614,32
2629,6
3258,2707
3167,41
4624,432
3734,8204
1884,103
389,4574
2494,866
2957,292
4482,194
845,5011
542,4733
91,478
3683,262
1979,2
2671,4085
3868,9
2754,586
2529,3
1676,1635
1048,1586
1960,6550
2530,1882
2643,608
237,9
2812,74
3308,184
1133,2077
1805,487
3956,34
163,14
3312,2541
4569,306
3174,512
3275,394
3038,626
3447,605
3731,2106
1811,3182
4540,42
1428,1737
3427,131
2659,61
3221,32
4325,2169
4509,1092
2678,22
1452,605
593,937
41,9
560,172
4414,2914
3659,479
243,14
1339,675
4682,284
2807,1418
4033,14
1442,150
261,939
2627,1100
1689,6081
1725,3
3849,156
834,306
1866,1135
2496,1854
2010,197
340,1514
2833,767
1601,530
4032,14
4554,306
480,671
2683,917
3693,597
3591,243
4498,146
2890,35
3781,1287
1766,6186
4338,3
2453,2629
4625,1627
3613,38
3806,3
4537,9059
3487,712
1271,2218
2921,7455
4366,707
3105,208
347,9
3751,668
4484,8964
2562,1393
4453,19
1423,25
656,343
2102,6
632,17
2493,57
3921,34
3473,7985
3139,555
2937,313
3410,7912
2500,509
1465,178
2741,2502
115,33
1821,6285
1494,1222
2401,259
1232,435
2725,4094
1153,42
4347,76
57,7
3220,32
4274,3028
4792,68
1735,3772
2196,314
3371,1051
2475,2005
2564,675
2997,970
4216,880
3466,158
707,870
4151,42
1093,1402
3379,34
1376,574
72,447
1922,660
3012,2590
1764,1053
743,3306
4750,14
1005,307
1190,215
3483,17
4152,6
1125,200
1241,864
2704,218
3936,60
3265,1041
998,2620
3423,123
1577,863
4646,335
1826,1931
4518,9031
4835,173
3355,1696
440,33
4798,33
1100,24
3800,3
2902,6
649,111
1546,330
3357,7883
3378,34
3768,41
630,4832
672,3
1249,11
482,347
1584,2443
4741,107
2882,7420
1462,733
3722,412
3435,3004
2578,382
49,3
4159,6
2900,6
858,509
1072,1577
719,14
4581,14
2631,288
1660,34
1656,917
2425,2933
4491,177
4102,922
4821,14
4352,303
4546,1555
4609,464
3932,60
2606,3
1385,12
3631,11
1399,1522
1195,597
1408,638
4086,865
1798,42
1475,538
3052,35
35,166
3529,746
2345,42
3879,61
2359,25
2206,3
3566,234
1286,287
349,24
2137,3973
2691,3
2825,1716
2964,297
1681,30
3811,32
1443,12
3078,7647
1671,981
4564,1853
1179,74
4002,34
3668,343
372,3
3424,7929
1916,3
1357,18
1825,1157
786,138
469,155
140,42
788,12
323,1008
3905,127
714,63
4353,4369
2446,2153
4668,758
4284,8704
4458,113
2859,400
2666,196
406,1355
3187,3
1004,2056
4468,1237
890,106
2411,130
2545,350
3259,2164
2390,42
3732,4294
42,3053
3142,629
303,947
4378,193
3548,215
664,254
1177,2687
2676,155
1947,1389
2501,1108
1473,5809
3339,296
2132,1081
1026,3146
961,14
2009,383
2149,287
3154,7714
2338,2921
3682,1469
304,1520
1440,5748
1496,6
2652,1068
916,53
4025,593
3526,75
2772,2447
1624,3289
3633,11
821,578
3132,340
1354,1274
4362,1472
850,34
1000,395
3203,3
18,395
1637,700
1667,587
493,477
3918,34
3532,4265
3651,367
3428,755
687,6
3534,74
1608,98
3909,170
3227,84
1009,2
2408,74
1092,841
1327,5626
1677,1403
1999,668
1310,607
1987,6608
3460,4245
344,16
3914,49
986,737
3646,1034
3605,435
4182,2193
3792,3
4320,86
2874,7411
1142,1032
2358,464
1198,699
85,4475
1518,425
4237,103
1381,5678
2716,311
3214,32
1014,2164
128,3
1364,3
3437,84
3745,1302
891,5055
2793,259
4076,244
1359,1008
307,34
1661,34
2431,400
3727,1157
1317,273
4173,3656
2474,27
2542,3969
1246,194
1208,2675
216,284
4162,11
2906,6
1239,27
2289,4
2740,34
275,157
489,6
1035,2629
1229,5473
4448,637
1008,12
3845,1233
3026,2167
3021,7592
2532,1023
4012,146
1058,3450
2166,33
3200,3
281,1037
3595,232
1316,5608
4825,9228
968,7
4063,118
4688,880
3586,6
3338,931
619,42
4431,956
1742,782
1390,5692
3838,76
1847,374
1579,863
1655,2213
2352,1732
2212,3
2020,576
4819,67
1956,16
1307,330
2003,42
575,4761
3874,31
4068,14
1706,2260
3544,8045
3291,17
1280,1293
861,343
3960,3505
1801,42
1628,84
1993,394
2639,4080
269,239
629,1792
2334,232
300,63
459,948
1447,5765
1472,1166
2046,3944
4101,660
3564,234
2113,149
27,14
3635,211
4387,969
837,6
3623,194
2008,9
4758,14
503,335
3043,355
4003,6
380,12
4054,6
1525,6
4412,131
3064,421
2884,1154
2340,232
374,3
3192,3
2381,42
4179,74
939,6
4752,14
3999,12
2799,4108
2147,6726
3615,1154
4403,1108
4088,3841
2068,42
529,4720
3903,712
636,973
1269,5521
185,865
3616,12
3018,106
3276,160
1797,1931
2979,274
1441,5751
3250,6
4726,1008
1535,900
4205,395
1273,2057
3891,237
607,3254
4417,14
1712,3
2199,2109
955,395
2579,334
3690,355
4290,707
3206,3
3493,13
403,53
2071,6
4613,27
1977,706
158,154
1748,3774
2909,232
3353,7878
902,3
352,646
1230,1219
4530,1573
2140,6714
444,1366
4795,9
754,2109
1737,2288
2971,54
4826,36
2920,1362
311,4547
548,27
4746,33
4619,115
1989,6619
306,948
2335,3
694,355
2356,0
1927,1259
684,3
749,1578
3081,412
1266,231
4492,1429
4420,14
4288,8710
4292,13
3025,3829
970,2550
13,6
873,607
808,6
514,46
4337,3
409,359
3479,480
4211,445
207,7
4476,243
458,65
3292,17
2430,4032
4480,444
110,1209
4323,115
3833,722
1883,6399
1713,7
3749,3184
3408,134
552,279
1439,39
2270,6821
2821,88
4637,146
1925,1069
634,605
4660,6
316,77
4089,14
4559,178
1328,5628
427,6
3201,3
105,671
3041,162
142,6
2169,6748
3366,127
89,2396
2918,706
2241,155
4050,3
2163,9
2636,2205
1949,890
1768,1082
3554,410
2272,81
1,629
3114,335
4804,11
1951,6526
3883,184
4166,1686
2720,4093
3669,880
1109,23
3403,546
591,343
1695,500
2936,543
4069,264
3235,1663
1576,5953
4470,3590
213,709
778,1340
1415,109
3559,468
2043,458
2848,1287
4400,435
3945,781
3611,919
1567,33
165,14
4574,74
3400,60
4775,1781
1343,407
2013,243
273,10
71,7
3681,1469
1087,1092
394,239
583,1559
1367,3
4833,11
3873,1945
2548,38
3906,279
4749,14
3003,7547
4644,157
3790,3
3351,77
1763,1229
1875,6378
1259,321
4394,1479
2253,292
2781,935
526,932
3244,156
2946,668
377,146
1559,979
3618,4188
1963,53
4591,73
348,9
2434,4007
2246,303
4272,311
1709,23
1050,1543
590,50
519,571
4358,1051
3928,150
2477,772
1083,3
3404,1071
4634,9
4374,42
1294,164
1809,164
791,4953
792,150
4059,6
4648,6
1980,445
3829,8298
3210,3
1530,1362
1410,119
4220,262
4508,9006
83,53
868,33
2350,34
20,3045
3247,35
2795,823
4435,1120
1562,842
3093,1796
3155,221
973,309
1710,925
4844,9
4674,306
1098,3476
3995,637
2844,347
886,177
4356,119
4443,158
3384,150
4266,162
515,46
737,675
1453,782
4031,33
4560,1470
2506,140
2994,2218
2126,1377
2926,435
4604,4396
906,1156
3459,3608
1030,215
2507,447
2428,3913
947,969
3604,4187
3855,1053
715,146
4786,933
686,4856
703,74
2353,164
2257,77
4647,118
473,150
21,4427
2752,11
885,340
2448,1174
917,605
3557,796
3551,347
2239,1520
3640,721
1265,124
483,347
4206,1855
2963,34
1219,2629
277,178
988,155
2084,347
1245,5496
2382,42
571,232
1435,150
993,5155
3274,608
3269,1929
585,4779
3469,10
2514,295
1349,334
1007,350
674,400
2412,483
2903,6
447,68
4614,4021
3558,468
359,38
2064,355
4314,487
3608,4274
1690,3760
4195,97
1548,67
1247,194
1985,17
294,6
1547,5915
2012,1497
588,6
2403,4024
2129,21
4253,1633
2410,1451
2719,991
425,11
2582,708
1054,2641
3757,1176
4425,106
556,3221
4226,135
4466,239
4572,2907
4712,157
4570,18
3920,34
1193,1432
1716,2284
2604,3
3935,60
2828,172
1704,6098
2863,234
2618,278
2400,224
2139,2836
3239,141
2383,42
3218,32
4456,665
1285,2727
3712,422
4262,569
4333,75
2087,278
1889,1861
3326,638
1591,72
1346,629
4296,1674
2162,9
2396,385
3455,431
2271,347
4355,4333
3111,329
1137,17
3688,295
972,1176
795,57
3020,7586
1711,389
36,27
453,32
913,384
3867,9
1199,610
1274,2057
2375,6
37,298
974,402
3195,3
983,35
3697,49
3857,12
1418,155
3964,292
1560,13
39,125
1486,5826
4083,1051
169,14
1355,68
2785,611
4212,8618
4606,7
3794,3
2682,454
3815,222
1640,33
1290,636
1380,2096
1933,2580
579,4771
4092,158
3160,98
2030,33
892,5057
4703,14
780,177
159,1733
2,163
3970,520
3216,32
2109,403
849,1274
2737,34
2466,1219
3770,64
1596,1710
1776,6
1913,335
1043,135
4573,538
1544,506
2736,75
4772,224
4478,1082
53,1710
1796,3
1911,1230
2306,3
2553,623
2800,106
3871,906
3933,60
824,4985
4592,284
3178,410
1389,2758
4728,1009
884,310
3603,2905
1607,98
1594,2
771,9
2611,3
3649,186
2273,865
1868,632
1085,3
3946,337
1325,401
3390,60
1463,429
806,6
3537,298
3570,315
2108,232
4108,135
4803,520
2234,3993
3211,3
963,483
3415,148
3553,3577
398,635
2632,12
4705,189
2996,2108
704,3064
431,174
292,167
4719,550
145,6
3961,6
2033,350
4073,14
1165,3515
2050,3370
2624,455
4244,8665
339,709
3673,480
3957,561
2973,318
265,189
2424,215
1262,79
1771,2431
271,10
696,179
747,2055
244,14
317,150
476,611
2032,14
957,33
3614,3
813,42
4556,805
1914,6451
4464,1931
1297,5585
3819,84
1804,765
758,1794
250,14
2461,934
545,4735
3241,969
738,620
310,667
2941,1464
1131,1428
1449,692
4770,34
15,592
3232,1226
2769,2165
3468,7981
920,3387
3029,287
4060,6
2544,350
38,1008
363,157
3889,442
182,758
3033,1055
2983,2
1194,1378
2852,43
3565,234
1121,5363
2235,353
2667,502
3505,42
3223,362
1182,298
4163,42
614,36
1466,54
401,3136
3042,43
934,5104
2419,6963
4679,6
4379,343
2641,1199
3807,3
726,688
826,172
1521,1174
4603,592
2930,7466
136,3081
628,611
334,243
390,224
4252,383
4727,1008
3628,174
1817,3
400,485
710,6
1039,5236
3780,1287
3359,22
46,53
1561,1416
4654,6
4697,9
1112,60
2513,262
1223,6
3848,156
3023,24
2421,4030
1508,5862
1750,2284
4691,9
3881,61
1799,1429
338,194
215,168
1341,5643
11,177
1520,176
3729,4293
3574,722
3004,7551
2864,933
3115,390
3895,1451
2322,6857
2571,340
2913,487
101,2400
3549,347
1458,707
171,14
107,756
4056,8452
4837,7
4165,42
4407,9
3656,8128
4273,8698
3858,12
60,3
1240,864
4497,713
1040,3438
4037,14
2760,42
2120,12
1524,6
3521,8037
153,1128
2248,106
481,813
4106,915
4321,11
3578,8078
3930,66
3562,234
3315,708
1762,2841
3538,298
4817,3016
750,6
1785,2173
4490,194
3383,150
3948,22
405,138
757,671
2711,2954
2670,296
3774,18
97,9
1333,205
4316,27
2791,611
2854,1256
186,3089
3793,3
2723,3881
3583,665
2058,567
4065,14
148,6
28,14
3951,61
3799,3
4402,509
692,10
2866,455
1386,473
1845,706
4589,14
3958,1047
1599,1310
4368,8827
701,270
3773,68
3028,2336
2969,71
4224,33
1708,1362
2953,194
454,32
2868,315
2040,3
4041,189
2315,331
609,460
167,14
730,36
4120,262
3358,22
2074,61
3828,199
1622,51
587,215
1401,2150
3045,17
3224,362
1700,707
3088,239
4255,841
2981,79
40,709
1379,1435
2089,6681
2175,189
3217,32
2885,1
74,6
3702,8179
2657,17
3180,410
2076,42
441,38
3839,76
2051,17
2541,1079
3306,61
1301,2485
1781,27
4669,758
3430,7936
1304,688
236,9
2599,3
520,12
2573,7093
3280,24
3186,3
2768,2165
735,1079
4563,538
2106,6
2679,25
3229,84
2761,42
592,262
1303,1286
1387,5686
4602,43
4390,144
3739,8216
1890,2456
2987,360
4773,42
3297,17
904,12
4471,8940
1279,2725
933,281
4751,14
2308,1078
1555,5927
4397,306
3190,3
4306,8742
706,97
4550,39
3070,90
745,292
3594,232
1939,7
4265,162
2862,2965
3786,43
513,46
81,859
4823,834
1308,422
4411,131
914,2018
3452,119
3695,35
4698,14
