,Review
220,"['Squid', 'Game', 'deserves', 'hype', 'overall', 'marred', 'glaring', 'inconsistency', 'poor', 'storytelling', 'One', 'infer', 'focus', 'Gi', 'Hun', 'protagonist', 'make', 'final', 'game', 'win', 'It', 'better', 'given', 'min', 'episode', 'tell', 'backstories', 'Gi', 'Hun', 'Sang', 'Woo', 'Sae', 'Byeok', 'Ali', 'Deok', 'Su', 'Mi', 'Hyeon', 'appear', 'equal', 'chance', 'winning', 'Seven', 'thing', 'compromise', 'story', 'The', 'organ', 'harvester', 'planned', 'entire', 'operation', 'cremation', 'furnace', 'floor', 'dropped', 'coffin', 'room', 'Yet', 'did', 'arrange', 'surgeon', 'pose', 'staff', 'member', 'instead', 'relied', 'player', 'dissect', 'body', 'exchange', 'information', 'game', 'The', 'Front', 'Man', 'Jun', 'Hos', 'missing', 'older', 'brother', 'You', 'think', 'just', 'lied', 'younger', 'brother', 'whereabouts', 'paid', 'advance', 'rent', 'Why', 'renting', 'place', 'running', 'Squid', 'Game', 'winner', 'supposedly', 'prize', 'money', 'With', 'conclusion', 'Game', 'glass', 'bridge', 'blown', 'tiny', 'smithereens', 'glass', 'shard', 'hit', 'Sae', 'Byeok', 'size', 'kitchen', 'knife', 'A', 'lessthanconvincing', 'melee', 'Sang', 'Woo', 'Gi', 'Hun', 'final', 'game', 'Gi', 'Hun', 'unable', 'finish', 'game', 'eliminate', 'Sang', 'Woo', 'Sang', 'Woo', 'suddenly', 'find', 'conscience', 'kill', 'This', 'completely', 'inconsistent', 'person', 'sacrificed', 'way', 'ahead', 'What', 'anticlimax', 'Gi', 'Hun', 'mope', 'survivor', 'guilt', 'leaving', 'Sang', 'Woos', 'mom', 'saddled', 'son', 'debt', 'Sae', 'Byeoks', 'brother', 'languishing', 'orphanage', 'year', 'Squid', 'Game', 'started', 'Hundreds', 'people', 'disappear', 'Seoul', 'month', 'year', 'raise', 'eyebrow', 'Collective', 'missing', 'person', 'report', 'trigger', 'police', 'looking', 'CCTV', 'footage', 'people', 'come', 'footage', 'Squid', 'Games', 'recruiter', 'The', 'final', 'scene', 'see', 'Gi', 'Hun', 'turning', 'away', 'boarding', 'flight', 'daughter', 'America', 'Presumably', 'try', 'Squid', 'Games', 'How', 'exactly', 'They', 'know', 'look', 'like', 'If', 'wish', 'blow', 'lid', 'game', 'taken', 'card', 'police', 'track', 'original', 'owner', 'card', 'listen', 'invitee', 'call', 'Squid', 'Game', 'coordinator', 'End', 'scene', 'Better', 'setup', 'season', 'instead', 'irresponsible', 'father', 'letting', 'kid', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
1052,"['The', 'timeline', 'Ep', 'Gganbu', 'Ep', 'VIP', 'did', 'match', 'By', 'time', 'VIPs', 'arrive', 'old', 'man', 'killed', 'playing', 'marble', 'In', 'episode', 'revealed', 'old', 'man', 'want', 'play', 'host', 'Play', 'Hes', 'dead', 'participantsAnyway', 'couple', 'episode', 'good', 'multiple', 'time', 'scene', 'stretched', 'Many', 'element', 'build', 'left', 'hanging', 'The', 'cop', 'chased', 'perpetrator', 'time', 'dy', 'inconsequentially', 'No', 'follow', 'message', 'sent', 'cop', 'talked', 'chiefPerhaps', 'English', 'translation', 'subtitle', 'failed', 'deliver', 'story', 'true', 'essence', 'thats', 'emotion', 'behavior', 'unjustified', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
1137,"['One', 'best', 'TV', 'Shows', 'I', 'seen', 'Simply', 'genious', 'realistic', 'th', 'episode', 'FABULOUSI', 'love', 'TV', 'Show', 'favourite', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
713,"['So', 'good', 'I', 'story', 'acting', 'soooooo', 'goooood', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
243,"['Standard', 'luck', 'beginning', 'character', 'storyline', 'quickly', 'go', 'overdrive', 'social', 'more', 'brokenI', 'guessed', 'ending', 'reason', 'I', 'dont', 'episode', 'somewhat', 'muddled', 'The', 'angst', 'action', 'main', 'character', 'weakly', 'explained', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
170,"['Great', 'Brilliant', 'acting', 'Apart', 'VIPs', 'thankfully', 'small', 'overshadowed', 'fantastic', 'The', 'bureau', 'great', 'screenwriter', 'I', 'hope', 'introduces', 'people', 'brilliance', 'Korean', 'filmmaking', 'start', 'Train', 'Busan', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
274,"['The', 'American', 'voice', 'actor', 'dont', 'really', 'passion', 'real', 'actor', 'live', 'English', 'dubbing', 'watch', 'subtitle', 'Trust', 'youll', 'understand', 'rewatch', 'part', 'English', 'overdubs', 'Also', 'there', 'fair', 'writing', 'issue', 'plot', 'hole', 'just', 'way', 'translated', 'flawless', 'series', 'great', 'series', 'despite', 'letdown', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
1089,"['Best', 'series', 'The', 'series', 'beautiful', 'interesting', 'unique', 'series', 'actor', 'excellent', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
858,"['One', 'thing', 'I', 'sure', 'Battle', 'Royale', 'genre', 'ridden', 'poor', 'scripting', 'substandard', 'acting', 'I', 'did', 'watch', 'And', 'having', 'heard', 'Squid', 'Game', 'heaped', 'Battle', 'Royals', 'I', 'care', 'I', 'begun', 'watching', 'low', 'expectation', 'And', 'horribly', 'pleasant', 'surprise', 'Youll', 'character', 'depth', 'story', 'structure', 'wouldnt', 'expect', 'genre', 'Maybe', 'wont', 'live', 'hype', 'Battle', 'Royal', 'aficionado', 'casually', 'curious', 'one', 'need', 'worry', 'waste', 'time', 'I', 'gave', 'Squid', 'Game', 'expands', 'survival', 'horror', 'genre', 'general', 'obviously', 'raise', 'bar', 'sub', 'genre', 'Battle', 'Royals', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
665,"['First', 'best', 'design', 'I', 'seen', 'life', 'The', 'idea', 'great', 'flaw', 'like', 'overdramatizing', 'overeating', 'character', 'just', 'dont', 'know', 'act', 'The', 'VIP', 'actor', 'terrible', 'You', 'bored', 'middle', 'episode', 'I', 'dont', 'understand', 'hype', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
996,"['Didnt', 'like', 'main', 'character', 'lot', 'annoying', 'character', 'I', 'believe', 'Koreans', 'behave', 'like', 'Had', 'good', 'scene', 'overall', 'overrated', 'ended', 'badly', 'didnt', 'make', 'feel', 'lot', 'work', 'Expected', 'better', 'star', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
265,"['I', 'think', 'series', 'great', 'different', 'experience', 'entertainment', 'lover', 'Only', 'lack', 'emotional', 'element', 'cause', 'think', 'great', 'develop', 'moment', 'Otherwise', 'entertaining', 'portion', 'Stretched', 'portion', 'Thrilling', 'time', 'Horror', 'element', 'emotional', 'part', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
733,"['You', 'really', 'bored', 'watch', 'The', 'point', 'plot', 'really', 'interesting', 'especially', 'day', 'I', 'wouldnt', 'recommend', 'I', 'regret', 'time', 'spending', 'watching', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
199,"['Whats', 'Good', 'Yes', 'concept', 'plot', 'survival', 'drama', 'new', 'thing', 'way', 'conveys', 'conviction', 'matchIt', 'high', 'intense', 'drama', 'human', 'emotion', 'like', 'fear', 'greed', 'worrying', 'anxiety', 'humanity', 'Like', 'parasite', 'show', 'social', 'inequality', 'issue', 'South', 'KoreaThe', 'series', 'highquality', 'work', 'Its', 'visuals', 'strong', 'build', 'suspense', 'effectivelyRecommending', 'watch', 'original', 'Korean', 'audio', 'English', 'subtitle', 'And', 'yes', 'addictive', 'binge', 'watch', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
704,"['I', 'read', 'disappointment', 'finale', 'series', 'A', 'decisive', 'finale', 'just', 'ended', 'story', 'series', 'This', 'ending', 'instead', 'leaf', 'door', 'ajar', 'continuation', 'I', 'hope', 'happens', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
296,"['People', 'rightly', 'comparing', 'gem', 'Hunger', 'Games', 'extent', 'theyre', 'right', 'oversimplify', 'Dystopian', 'Future', 'Game', 'Show', 'drama', 'risk', 'looking', 'masterful', 'character', 'work', 'wildly', 'impressive', 'production', 'design', 'cinematography', 'course', 'toptier', 'acting', 'involved', 'yes', 'includes', 'VIPsEveryone', 'involved', 'making', 'bow', 'I', 'look', 'forward', 'story', 'go', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
367,"['The', 'concept', 'carry', 'film', 'Its', 'really', 'interesting', 'unfortunately', 'player', 'interaction', 'sooo', 'cliche', 'corny', 'Theyre', 'like', 'season', 'Walking', 'Dead', 'seen', 'The', 'ending', 'game', 'especially', 'just', 'bad', 'They', 'tried', 'establish', 'ambiguity', 'main', 'character', 'ethos', 'episode', 'go', 'window', 'just', 'angelic', 'good', 'guy', 'frustrating', 'annoying', 'watchI', 'enjoyed', 'I', 'suppose', 'episode', 'I', 'liked', 'Its', 'fine', 'entertain', 'week', 'isnt', 'come', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
881,"['Poorer', 'Battle', 'Royalishrealityescape', 'theme', 'Unoriginal', 'average', 'story', 'poor', 'dialogue', 'cliche', 'stereotypical', 'Seen', 'time', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
168,"['This', 'isnt', 'There', 'great', 'character', 'sadly', 'wiped', 'til', 'dreg', 'remained', 'They', 'dreg', 'werent', 'better', 'English', 'speaking', 'vip', 'poorly', 'cast', 'actor', 'history', 'universe', 'The', 'end', 'fitting', 'Bleak', 'The', 'movie', 'bleak', 'Bleak', 'good', 'need', 'point', 'There', 'wasnt', 'I', 'cared', 'lick', 'remained', 'This', 'terrible', 'waste', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
344,"['The', 'brand', 'new', 'hype', 'series', 'season', 'Is', 'good', 'With', 'commenting', 'massive', 'number', 'positive', 'review', 'website', 'I', 'dare', 'ask', 'question', 'everybody', 'feel', 'confronted', 'asked', 'If', 'seen', 'enjoyed', 'minute', 'consider', 'reason', 'I', 'feel', 'like', 'Squid', 'Game', 'given', 'credit', 'I', 'try', 'explain', 'spoiling', 'consider', 'watching', 'itA', 'user', 'IMDb', 'pointed', 'incongruity', 'story', 'unresolved', 'plot', 'point', 'character', 'inconsistency', 'unexplained', 'detail', 'valid', 'criticism', 'I', 'easily', 'nitpick', 'number', 'flaw', 'story', 'dialogue', 'character', 'make', 'point', 'Aside', 'fact', 'I', 'dont', 'want', 'spoil', 'series', 'I', 'think', 'important', 'highlight', 'general', 'idea', 'plot', 'hole', 'small', 'gigantic', 'problem', 'instead', 'just', 'listing', 'themTo', 'begin', 'premise', 'preposterous', 'think', 'feasible', 'unreasonable', 'criticize', 'unrealistic', 'We', 'given', 'suspend', 'disbelief', 'notice', 'And', 'thats', 'issue', 'begin', 'I', 'happily', 'ignore', 'certain', 'detail', 'HOW', 'came', 'detail', 'mentioned', 'However', 'Squid', 'Game', 'take', 'approach', 'story', 'confronts', 'idea', 'premise', 'setting', 'rational', 'inquiry', 'fact', 'shown', 'Simply', 'absurd', 'story', 'trying', 'realistic', 'Is', 'problem', 'Not', 'necessarily', 'Take', 'The', 'Platform', 'example', 'The', 'absurd', 'premise', 'justified', 'bigger', 'picture', 'metaphor', 'The', 'Platform', 'doesnt', 'dwell', 'detail', 'HOW', 'came', 'WHO', 'It', 'doesnt', 'matter', 'narrative', 'structure', 'serf', 'parallel', 'movie', 'reality', 'Then', 'doe', 'The', 'Platform', 'differ', 'Squid', 'Game', 'In', 'favor', 'reliable', 'read', 'cliché', 'plot', 'conflict', 'metaphor', 'aspect', 'come', 'crashing', 'Squid', 'Game', 'For', 'example', 'masked', 'game', 'enforcer', 'shown', 'human', 'naturally', 'begs', 'question', 'HOW', 'did', 'people', 'end', 'Now', 'character', 'idea', 'anymore', 'people', 'people', 'need', 'story', 'And', 'guess', 'They', 'oneThat', 'problem', 'repeat', 'number', 'time', 'notably', 'main', 'character', 'decision', 'repeatedly', 'action', 'accordance', 'established', 'characteristic', 'When', 'break', 'character', 'favor', 'simple', 'predictable', 'resolution', 'problem', 'faced', 'If', 'act', 'accordingly', 'story', 'wouldnt', 'author', 'way', 'That', 'create', 'conflict', 'writer', 'wouldnt', 'know', 'solve', 'end', 'relying', 'clichés', 'save', 'troubleThe', 'way', 'I', 'story', 'like', 'taken', 'approach', 'realistic', 'fantastical', 'metaphoricalAs', 'metaphor', 'Squid', 'Game', 'couldve', 'worked', 'unlike', 'aforementioned', 'The', 'Platform', 'drawing', 'parallel', 'element', 'realityAs', 'fantasy', 'series', 'gone', 'path', 'Alice', 'Borderland', 'The', 'realism', 'wouldnt', 'matter', 'mystery', 'strongerAs', 'realistic', 'like', 'Saló', 'day', 'Sodom', 'And', 'shouldve', 'felt', 'just', 'disturbing', 'story', 'powerful', 'people', 'playing', 'life', 'unfortunate', 'soul', 'But', 'doesnt', 'point', 'Squid', 'Game', 'want', 'make', 'put', 'place', 'evil', 'powerful', 'men', 'mask', 'sitting', 'comfortably', 'sofa', 'relishing', 'spectacle', 'violence', 'anguish', 'pain', 'But', 'hey', 'point', 'making', 'right', 'You', 'just', 'bad', 'evil', 'men', 'You', 'enjoying', 'But', 'Squid', 'Game', 'doesnt', 'confront', 'notion', 'like', 'Michael', 'Haneke', 'did', 'Funny', 'Games', 'You', 'mindlessly', 'enjoy', 'carnage', 'ask', 'question', 'Are', 'satisfied', 'Dont', 'worry', 'answering', 'Keep', 'busy', 'Watch', 'episode', 'time', 'ask', 'silly', 'question']"
447,"['Very', 'written', 'new', 'concept', 'little', 'flaw', 'missing', 'script', 'But', 'overally', 'good', 'The', 'thing', 'I', 'slowShows', 'aspect', 'human', 'good', 'fictional', 'way', 'betrays', 'kill', 'us', 'survival', 'And', 'episode', 'tell', 'bet', 'horse', 'human', 'show', 'power', 'hierarchy', 'A', 'written', 'story', 'Ive', 'seen', 'work', 'director', 'disappoints', 'badly', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
58,"['The', 'description', 'say', 'player', 'vying', 'billion', 'dollar', 'really', 'billion', 'Korean', 'won', 'million', 'USD', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
670,"['Very', 'compelling', 'opening', 'episode', 'actual', 'plot', 'unravels', 'make', 'Oh', 'thats', 'just', 'Thats', 'kinda', 'lame', 'Great', 'acting', 'amazing', 'set', 'override', 'glaring', 'flaw', 'series', 'enjoyable', 'watch', 'overall', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
331,"['It', 'disturbing', 'way', 'hell', 'happening', 'But', 'I', 'say', 'plot', 'unique', 'Not', 'good', 'way', 'bad', 'way', 'dark', 'grey', 'guess', 'Okay', 'At', 'opinion', 'watch', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
947,"['Too', 'bloody', 'violence', 'cruelty', 'inappropriate', 'scene', 'I', 'suggest', 'softer', 'bit', 'elegant', 'interested', 'watch', 'I', 'start', 'I', 'make', 'movie', 'I', 'help', 'make', 'better', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
23,"['You', 'dont', 'trust', 'people', 'trustworthy', 'You', 'rely', 'onSquid', 'Game', 'thoughtful', 'provocative', 'darn', 'productive', 'sense', 'Still', 'I', 'refrain', 'labeling', 'Masterpiece', 'Contrary', 'popular', 'belief', 'perfect', 'Trust', 'fair', 'share', 'flaw', 'just', 'like', 'Yes', 'certain', 'area', 'beat', 'expectation', 'especially', 'compare', 'series', 'shared', 'similar', 'concept', 'deficiency', 'bit', 'difficult', 'disregard', 'whatsoeverIf', 'ask', 'recapitulate', 'impression', 'single', 'sentence', 'I', 'say', 'wellacted', 'terrifically', 'communicated', 'albeit', 'outstretched', 'piece', 'work', 'complication', 'attaining', 'unique', 'set', 'audience', 'judging', 'current', 'number', 'gathered', 'enoughI', 'love', 'upheld', 'certain', 'credibility', 'constancy', 'dissertation', 'episode', 'All', 'SocialPolitical', 'innuendo', 'make', 'worthy', 'I', 'reckon', 'Even', 'I', 'shouldnt', 'discussing', 'I', 'sufficiently', 'qualified', 'make', 'argumentative', 'critique', 'difference', 'everpresent', 'Capitalist', 'Communist', 'ideology', 'Instead', 'Im', 'leaning', 'humanepsychological', 'itAll', 'character', 'personality', 'come', 'alongside', 'set', 'guilt', 'motivation', 'purpose', 'fascinating', 'human', 'psyche', 'relatable', 'level', 'Thus', 'persistence', 'misery', 'convey', 'absolute', 'legitimacy', 'And', 'dare', 'closer', 'look', 'revelation', 'shock', 'terrify', 'reflective', 'image', 'society', 'live', 'inFrom', 'deliberately', 'exposing', 'survivalist', 'ruthless', 'instinct', 'embedded', 'deep', 'subconscious', 'beginning', 'kind', 'showcasing', 'horrible', 'world', 'fraught', 'Greed', 'Expectations', 'Disparities', 'This', 'series', 'undoubtedly', 'tremendous', 'depth', 'underlying', 'messaging', 'anybody', 'imagineIn', 'end', 'pose', 'stern', 'challenge', 'foundation', 'humanity', 'I', 'say', 'morality', 'Furthermore', 'begs', 'question', 'take', 'human', 'And', 'entitled']"
833,"['First', 'Ill', 'talk', 'I', 'like', 'The', 'concept', 'great', 'drag', 'make', 'want', 'binge', 'right', 'end', 'art', 'direction', 'fantastic', 'taking', 'essentially', 'dark', 'subject', 'matter', 'giving', 'child', 'like', 'aesthetic', 'jarring', 'enjoyable', 'wayCharacterisation', 'ups', 'down', 'main', 'protagonist', 'initially', 'presented', 'dead', 'beat', 'steal', 'mother', 'gamble', 'small', 'action', 'picture', 'he', 'bit', 'waster', 'heart', 'goldOther', 'character', 'there', 'edgy', 'North', 'Korean', 'female', 'character', 'who', 'line', 'genuinely', 'cringe', 'I', 'dont', 'trust', 'people', 'line', 'stuck', 'I', 'dislike', 'character', 'state', 'character', 'trait', 'let', 'audience', 'know', 'fact', 'character', 'traitsThe', 'dubbing', 'awful', 'I', 'dont', 'know', 'charge', 'Netflix', 'rd', 'party', 'woeful', 'like', 'really', 'badId', 'recommend', 'enjoyable', 'watch', 'regardless', 'flaw']"
477,"['I', 'amateur', 'fooled', 'rating', 'flashy', 'review', 'mainstream', 'opinion', 'I', 'watch', 'seriesmovie', 'unbiased', 'mind', 'judge', 'accordingly', 'just', 'trash', 'Ep', 'good', 'ordinary', 'way', 'utmost', 'piece', 'crap', 'completely', 'overrated', 'hundred', 'stupidityWhat', 'fighting', 'scene', 'Three', 'stab', 'leg', 'stomach', 'right', 'hand', 'standing', 'fighting', 'bite', 'ankle', 'guy', 'hellThe', 'cop', 'frontman', 'brother', 'Extremely', 'irrelevant', 'added', 'absolutely', 'story', 'just', 'point', 'just', 'wasting', 'timeAnd', 'dont', 'started', 'VIPs', 'just', 'duhLong', 'story', 'short', 'watch', 'hunger', 'game', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
290,"['The', 'plot', 'super', 'interesting', 'It', 'offer', 'identical', 'storyline', 'Alice', 'borderland', 'better', 'The', 'character', 'round', 'flat', 'The', 'gore', 'great', 'doe', 'leave', 'brink', 'creeped', 'event', 'creates', 'Love', 'bit', 'Moreover', 'plot', 'twist', 'end', 'really', 'eye', 'peeled', 'little', 'figure', 'really', 'simpleReally', 'recommend', 'Very', 'interesting', 'wait', 'season', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
425,"['Even', 'deliberately', 'turning', 'brain', 'blunder', 'glaring', 'ignore', 'VIPs', 'insult', 'main', 'cast', 'Even', 'seeing', 'internet', 'collectively', 'enjoy', 'meme', 'piece', 'medium', 'make', 'happy', 'You', 'say', 'I', 'love', 'Sangwoo', 'contributes', 'overall', 'rating', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
942,"['I', 'fan', 'Korean', 'cinema', 'long', 'time', 'Thanks', 'Parasitie', 'Korean', 'cinema', 'deservedly', 'propelledThis', 'epitome', 'cinema', 'world', 'It', 'poigant', 'sad', 'violent', 'contains', 'moral', 'choicesit', 'Throughly', 'enjoyable', 'I', 'dont', 'want', 'seasonit', 'easily', 'left', 'ended', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
846,"['This', 'interested', 'start', 'finish', 'Very', 'written', 'set', 'design', 'incredible', 'ending', 'brilliantOnly', 'negative', 'I', 'lot', 'review', 'The', 'VIPs', 'horrendous', 'actingPower', 'scene', 'worth', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
977,"['Remarkable', 'series', 'VIPs', 'worst', 'actor', 'ive', 'seen', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
1114,"['This', 'Korean', 'series', 'brilliant', 'quite', 'shocking', 'way', 'It', 'lot', 'unique', 'violent', 'scene', 'time', 'I', 'stunned', 'moment', 'loving', 'second', 'pull', 'You', 'really', 'feel', 'character', 'I', 'really', 'rooting', 'favorite', 'knowing', 'head', 'probably', 'die', 'crazy', 'life', 'death', 'game', 'reach', 'winner', 'Episode', 'Gganbu', 'mind', 'blowing', 'heartbreaking', 'Im', 'sincerely', 'hoping', 'season', 'We', 'need', 'squid', 'game', 'minus', 'ridiculous', 'VIPs', 'speak', 'like', 'actual', 'human', 'Geez', 'That', 'reason', 'I', 'didnt', 'rating', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
1132,"['Great', 'Netflix', 'againKeeps', 'guessing', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
