Class,Review,Review
2,"I genuinely enjoyed this show from beginning to end. A true social commentary on humanity, competition and avarice. When the carnage is occurring it's nail-biting and between the games you get compelling human drama - a fantastic addition to the ""kill game"" genre that seems to always be elevated by Korean talent behind and in front of the camera.
 
  
 
  51 out of 112 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","I really enjoyed this show from start to finish. A real social commentary on humanity, competition and greed. When the carnage occurs, it bites the nails and between the games, you get a convincing human drama - a fantastic addition to the ""Kill Game"" genre which always seems to be raised by Korean talent behind and in front of the camera.
 
  
 
  51 out of 112 found this useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
2,"Entertaining and demonstrating human nature via this drama. My conclusion is not to be poor otherwise become a chess from rich.
 
  
 
  22 out of 61 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","Entertain and demonstrate human nature via this drama. My conclusion is not to be poor, if not become a Rich's failure.
 
  
 
  22 out of 61 found this useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
2,"09/23/2021 The first few episodes were fun to watch as they played out but as the series progressed, a more serious, ominous storyline starts to unfold due to viewers empatheticly connecting with a few of the characters facing uncertainty as the game continues, even possible death? I found the series in the overall really great, refreshingly new and well planned out as it unfolded. I hope that somehow the series will continue on into the future with many more seasons to come? A great show from my perspective!
 
  
 
  71 out of 146 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","09/23/2021 The first episodes were fun to watch while they were playing, but as the series progressed, a more serious and disturbing scenario begins to take place due to viewers who connect with empathy with Some of the characters confronted with uncertainty when the game continues, even possible death? I found the series overall, really great, refreshing and new and well planned when it took place. I hope the series will continue in the future with many other seasons to come? A big show from my point of view!
 
  
 
  71 out of 146 found this useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
2,"This is an entertaining series from South Korea that embodies elements of Korean Soap Opera, Chinese Operatic acting and Japanese theater. It uses classical Chinese opera techniques such as the wide open eyes to portray fear and anger....and a lot of shouting.It uses ""Hunger Games"" as it's base and survival of the fittest as its main theme. The story is well crafted but unfortunately starts to lose its grip on reality by about episode 4. It then slides into a lot of moralizing and philosophical conversations that culminates in the final episode. It is set up for a second season (if one can judge from the final episode) but runs the risk of becoming very formula driven Have to agree with the other comments about the group of ""actors"" playing the VIPs. They obviously came cheap and might not even have been actors at all! Enjoyable for what it's meant to be!
 
  
 
  34 out of 72 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","It is an entertaining series of South Korea which embodies elements of Korean soap opera, action in Chinese operation and Japanese theater. He uses classic Chinese opera techniques such as eyes wide open to represent fear and anger ... and a lot of cries. He uses ""Hunger Games"" because he is basic and survival of the most capable as the main theme. The story is well conceived but unfortunately begins to lose his grip on reality by episode 4. He then slips into many moralizing and philosophical conversations which culminates in the last episode. It is set up for a second season (if we can judge the final episode) but covers the risk of becoming very motivated by the formula, we must agree with the other comments on the group ""Actors"" Playing VIPs. They obviously came cheap and were perhaps not even actors at all! Pleasant for what it is supposed to be!
 
  
 
  34 out of 72 found this useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
2,"I really loved this shot series best series of the uear no question asked but the ending kinda bad but overall fantastic.
 
  
 
  17 out of 62 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","I really loved this series of photos of the best series in the EUEAR without question, but the end of the end but fantastic as a whole.
 
  
 
  17 out of 62 found this useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
2,"A tentacular dystopian vision of the depths those deserted of luck will descend to in order to recover their losses. Combines schadenfreude shades aplenty alongside some outstanding performances while asking some questions you might not want to find an answer to.
 
  
 
  9 out of 12 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","A sprawling dystopian vision of the depths that have deserted luck will come down to recover their losses. Combines the Shadenfreude shades in abundance alongside some exceptional performance while asking questions that you may not want to find an answer.
 
  
 
  9 out of 12 found it useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
2,"One of the most beautiful series I've ever seen, finished in a few days one episode led to another and the desire to follow the series increases more and more. The tension is built very well game by game and the main characters are really well developed.
 
  
 
  24 out of 70 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","One of the most beautiful series I have ever seen, finished in a few days, an episode led to another and the desire to follow the series increases more and more. The tension is very well built by play and the main characters are really well developed.
 
  
 
  24 out of 70 found this useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
2,"Not sure about all the hype but certainly great fun and slickly made.Nothing really new in the plot. Rich bored gamblers making desperate humans kill each other for their enjoyment.I guess the difference between this and so many before is the excellent character development and talented acting. Direction, cinematography all good. I think Alice in Borderland was slightly more adventurous but this was certainly slicker.A great binge watch!
 
  
 
  
 
  13 out of 32 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","I am not sure of all the media threw but certainly very fun and smooth. Rich boredom players who make desperate humans kill themselves for their pleasure. I suppose that the difference between this and so many people before is the excellent character development and talented game. Direction, cinematography all. I think Alice in Borderland was slightly more adventurous, but it was certainly smoother. An excellent excessive watch!
 
  
 
  
 
  13 out of 32 found this useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
2,"I don't know if it's a must for Netflix shows to become lame at the very end. It became very far-fetched and melodramatic and Gi-hun signaled virtue the whole time as if he didn't get back to the game while he knew he had to kill people and as if he didn't cheat the old man at the marble game. I wish he just stood up and admitted what he did. His mother died and he helped the mother of the other finalist (that stabbed himself in the neck at the squid game) by giving her the money and then took the North Korean girl's brother from the orphanage and before flying to the US to see his daughter, he called the corporate again to make them pay back. And another thing is that the old man was in fact the Korean Jigsaw in the game. He was rich so he wanted to lose track of time just like he'd do when he was a child so he did all what he did. And he died at an empty flat right before the sleeping old drunk man in the street received help just like Gi-hun. He died a few seconds before midnight as if we needed more far-fetched stuff.I enjoyed the show except for the final episode. The idea and the execution was good and the acting didn't take me out of it except for the actors who play American guests. I like the characters and their background stories. And on top of all this, there's this amazing episode 6 so I rated it 8 out of 10.
 
  
 
  
 
  2 out of 13 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","I do not know if it is a must for Netflix shows to become lame at the very end. He became very eccentric and melodramatic and gi-hun reported virtue all the time as if he did not come back to the game while he knew he had to kill people and as if he had not cheated on the Old man with a marble game. I want him to get up and admitted what he did. His mother died and he helped the mother of the other finalist (who stabbed in the neck at the Calmar game) by giving her the money and then took the brother of the North Korean daughter of the Orphanage and before flying to the United States to see his daughter, he called the company again to reimburse them. And another thing is that the old man was actually the Korean puzzle in the game. He was rich so he wanted to waste out time as he would do when he was a child, so he did everything he did . And he died in an empty apartment just before the sleepy old man in the street receives help like gi-hun. He died a few seconds before midnight as if we needed more eccentric things. I appreciated the show except for the last episode. The idea and the execution were good and the game did not take me away with the exception of the actors who play American guests. I like the characters and their background stories. And in addition to all that, there is this amazing episode 6, so I assessed it 8 out of 10.
 
  
 
  
 
  2 out of 13 found this useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
2,"Decent set deco .Battle royal flavors.A bit long in runtime, especially after first half.Very bloody and gory at times.Addictive if thats your cup of tv tea.
 
  
 
  61 out of 91 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","Decent decoration.
 
  
 
  61 out of 91 found this useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
2,"I had fun binging for two days. It's seems like a mashup of the Hunger Games, Saw, Bond villains and wacky Asian reality game show. Very good character development. I felt I knew the characters well halfway in the series. The first two episodes are a little slow, then the show ramps up to speed. The last episode is a tear jerker. The weakest part, as many have said we're the VIPs. It wasn't that their acting was bad, it was the screenplay dialogue was poorly written.It's certainly a different kind of watch most Americans are not used to. But that's a good thing. Netflix makes it easier to watch foreign content so that our cultural bobble burst and we get more diversely made content from around the globe.
 
  
 
  
 
  18 out of 41 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","I had fun in Binging for two days. It seems to be a hunger, SAW, Bond Villains games and a broad -friendly Asian reality game show. Very good character development. I felt that I knew the characters halfway in the series well. The first two episodes are a bit slow, then the show accelerates. The last episode is a jerker. The weakest part, as many have said that we are VIPs. It was not that their game was bad, it was the dialogue of badly written scenarios. This is certainly another type of watch to which most Americans are not used to. But it's a good thing. Netflix makes it easier to look at foreign content so that our cultural brilliance bursts and we get more diverse content from around the world.
 
  
 
  
 
  18 out of 41 found this useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
